"stock_id","year","bbmsy_mean","prior","model","mean_5year"
"Gadus_morhua-27",1981,0.898183316677727,"constrained","CMSY",NA
"Gadus_morhua-27",1982,0.849257124088756,"constrained","CMSY",NA
"Gadus_morhua-27",1983,0.844957261946606,"constrained","CMSY",NA
"Gadus_morhua-27",1984,0.87076766578943,"constrained","CMSY",NA
"Gadus_morhua-27",1985,0.898337611420602,"constrained","CMSY",0.872300595984624
"Gadus_morhua-27",1986,0.916930734231303,"constrained","CMSY",0.876050079495339
"Gadus_morhua-27",1987,0.945320875856468,"constrained","CMSY",0.895262829848882
"Gadus_morhua-27",1988,0.9790075844411,"constrained","CMSY",0.922072894347781
"Gadus_morhua-27",1989,1.02453006069867,"constrained","CMSY",0.952825373329629
"Gadus_morhua-27",1990,1.0712415738892,"constrained","CMSY",0.987406165823348
"Gadus_morhua-27",1991,1.11879387415498,"constrained","CMSY",1.02777879380808
"Gadus_morhua-27",1992,1.15361741606628,"constrained","CMSY",1.06943810185005
"Gadus_morhua-27",1993,1.16534754304862,"constrained","CMSY",1.10670609357155
"Gadus_morhua-27",1994,1.16463076983337,"constrained","CMSY",1.13472623539849
"Gadus_morhua-27",1995,1.16537920791741,"constrained","CMSY",1.15355376220413
"Gadus_morhua-27",1996,1.17096452724471,"constrained","CMSY",1.16398789282208
"Gadus_morhua-27",1997,1.17345211310674,"constrained","CMSY",1.16795483223017
"Gadus_morhua-27",1998,1.18669898030509,"constrained","CMSY",1.17222511968146
"Gadus_morhua-27",1999,1.21238313998788,"constrained","CMSY",1.18177559371237
"Gadus_morhua-27",2000,1.24661028610613,"constrained","CMSY",1.19802180935011
"Gadus_morhua-27",2001,1.27453741002797,"constrained","CMSY",1.21873638590676
"Gadus_morhua-27",2002,1.28785982428193,"constrained","CMSY",1.2416179281418
"Gadus_morhua-27",2003,1.28352097416316,"constrained","CMSY",1.26098232691341
"Gadus_morhua-27",2004,1.27380905217843,"constrained","CMSY",1.27326750935152
"Gadus_morhua-27",2005,1.27069340827519,"constrained","CMSY",1.27808413378534
"Gadus_morhua-27",2006,1.27886692549503,"constrained","CMSY",1.27895003687875
"Gadus_morhua-27",2007,1.28825185476271,"constrained","CMSY",1.2790284429749
"Gadus_morhua-27",2008,1.29839234958025,"constrained","CMSY",1.28200271805832
"Gadus_morhua-27",2009,1.29915912127498,"constrained","CMSY",1.28707273187763
"Gadus_morhua-27",2010,1.28963346062574,"constrained","CMSY",1.29086074234774
"Gadus_morhua-27",2011,1.28243873163641,"constrained","CMSY",1.29157510357602
"Gadus_morhua-27",2012,1.28246900177416,"constrained","CMSY",1.29041853297831
"Gadus_morhua-27",2013,1.28477563240061,"constrained","CMSY",1.28769518954238
"Gadus_morhua-27",2014,1.28065423621589,"constrained","CMSY",1.28399421253056
"Gadus_morhua-27",2015,1.25723520152581,"constrained","CMSY",1.27751456071058
"Mallotus_villosus-27",1981,1.40715869405276,"constrained","CMSY",NA
"Mallotus_villosus-27",1982,1.56696737236695,"constrained","CMSY",NA
"Mallotus_villosus-27",1983,1.68266337738309,"constrained","CMSY",NA
"Mallotus_villosus-27",1984,1.72182871462291,"constrained","CMSY",NA
"Mallotus_villosus-27",1985,1.72906541314621,"constrained","CMSY",1.62153671431438
"Mallotus_villosus-27",1986,1.77132064554602,"constrained","CMSY",1.69436910461304
"Mallotus_villosus-27",1987,1.80148257100926,"constrained","CMSY",1.7412721443415
"Mallotus_villosus-27",1988,1.80662179543181,"constrained","CMSY",1.76606382795124
"Mallotus_villosus-27",1989,1.80343532885859,"constrained","CMSY",1.78238515079838
"Mallotus_villosus-27",1990,1.82029573965592,"constrained","CMSY",1.80063121610032
"Mallotus_villosus-27",1991,1.81130474825022,"constrained","CMSY",1.80862803664116
"Mallotus_villosus-27",1992,1.81448795832238,"constrained","CMSY",1.81122911410378
"Mallotus_villosus-27",1993,1.81402196145261,"constrained","CMSY",1.81270914730794
"Mallotus_villosus-27",1994,1.78772404088373,"constrained","CMSY",1.80956688971297
"Mallotus_villosus-27",1995,1.80422826708775,"constrained","CMSY",1.80635339519934
"Mallotus_villosus-27",1996,1.6292097538818,"constrained","CMSY",1.76993439632565
"Mallotus_villosus-27",1997,1.47101775556143,"constrained","CMSY",1.70124035577346
"Mallotus_villosus-27",1998,1.50607233493862,"constrained","CMSY",1.63965043047067
"Mallotus_villosus-27",1999,1.63109672311819,"constrained","CMSY",1.60832496691756
"Mallotus_villosus-27",2000,1.4980283918547,"constrained","CMSY",1.54708499187095
"Mallotus_villosus-27",2001,1.16488883506575,"constrained","CMSY",1.45422080810774
"Mallotus_villosus-27",2002,1.09344849652677,"constrained","CMSY",1.37870695630081
"Mallotus_villosus-27",2003,1.22844111629311,"constrained","CMSY",1.3231807125717
"Mallotus_villosus-27",2004,1.31002561479456,"constrained","CMSY",1.25896649090698
"Mallotus_villosus-27",2005,1.40062062343755,"constrained","CMSY",1.23948493722355
"Mallotus_villosus-27",2006,1.50433138695034,"constrained","CMSY",1.30737344760047
"Mallotus_villosus-27",2007,1.56811816037138,"constrained","CMSY",1.40230738036939
"Mallotus_villosus-27",2008,1.61384186052228,"constrained","CMSY",1.47938752921522
"Mallotus_villosus-27",2009,1.67598481488507,"constrained","CMSY",1.55257936923332
"Mallotus_villosus-27",2010,1.72600068821242,"constrained","CMSY",1.6176553821883
"Mallotus_villosus-27",2011,1.7649534569109,"constrained","CMSY",1.66977979618041
"Mallotus_villosus-27",2012,1.79830150213834,"constrained","CMSY",1.7158164645338
"Mallotus_villosus-27",2013,1.08747009692819,"constrained","CMSY",1.61054211181498
"Mallotus_villosus-27",2014,0.516837765983309,"constrained","CMSY",1.37871270203463
"Mallotus_villosus-27",2015,0.374883261112009,"constrained","CMSY",1.10848921661455
"Melanogrammus_aeglefinus-27",1981,0.936988545208453,"constrained","CMSY",NA
"Melanogrammus_aeglefinus-27",1982,0.815957001383483,"constrained","CMSY",NA
"Melanogrammus_aeglefinus-27",1983,0.732709710309055,"constrained","CMSY",NA
"Melanogrammus_aeglefinus-27",1984,0.673408133403316,"constrained","CMSY",NA
"Melanogrammus_aeglefinus-27",1985,0.630309488476339,"constrained","CMSY",0.757874575756129
"Melanogrammus_aeglefinus-27",1986,0.597702996207308,"constrained","CMSY",0.6900174659559
"Melanogrammus_aeglefinus-27",1987,0.577408036041431,"constrained","CMSY",0.64230767288749
"Melanogrammus_aeglefinus-27",1988,0.561584313244956,"constrained","CMSY",0.60808259347467
"Melanogrammus_aeglefinus-27",1989,0.547673853124259,"constrained","CMSY",0.582935737418859
"Melanogrammus_aeglefinus-27",1990,0.533594408386496,"constrained","CMSY",0.56359272140089
"Melanogrammus_aeglefinus-27",1991,0.525752821154031,"constrained","CMSY",0.549202686390235
"Melanogrammus_aeglefinus-27",1992,0.518713198007238,"constrained","CMSY",0.537463718783396
"Melanogrammus_aeglefinus-27",1993,0.518640119967927,"constrained","CMSY",0.52887488012799
"Melanogrammus_aeglefinus-27",1994,0.513665251491961,"constrained","CMSY",0.522073159801531
"Melanogrammus_aeglefinus-27",1995,0.508514157737826,"constrained","CMSY",0.517057109671797
"Melanogrammus_aeglefinus-27",1996,0.506652448971384,"constrained","CMSY",0.513237035235267
"Melanogrammus_aeglefinus-27",1997,0.504856287311569,"constrained","CMSY",0.510465653096133
"Melanogrammus_aeglefinus-27",1998,0.501121875643174,"constrained","CMSY",0.506962004231183
"Melanogrammus_aeglefinus-27",1999,0.498837640360304,"constrained","CMSY",0.503996482004851
"Melanogrammus_aeglefinus-27",2000,0.499439373744005,"constrained","CMSY",0.502181525206087
"Melanogrammus_aeglefinus-27",2001,0.499614382585907,"constrained","CMSY",0.500773911928992
"Melanogrammus_aeglefinus-27",2002,0.496910537325753,"constrained","CMSY",0.499184761931829
"Melanogrammus_aeglefinus-27",2003,0.497181837027818,"constrained","CMSY",0.498396754208757
"Melanogrammus_aeglefinus-27",2004,0.492495730943418,"constrained","CMSY",0.49712837232538
"Melanogrammus_aeglefinus-27",2005,0.489959403357869,"constrained","CMSY",0.495232378248153
"Melanogrammus_aeglefinus-27",2006,0.488539237962924,"constrained","CMSY",0.493017349323556
"Melanogrammus_aeglefinus-27",2007,0.487216718897209,"constrained","CMSY",0.491078585637848
"Melanogrammus_aeglefinus-27",2008,0.485637392384324,"constrained","CMSY",0.488769696709149
"Melanogrammus_aeglefinus-27",2009,0.485893068226561,"constrained","CMSY",0.487449164165777
"Melanogrammus_aeglefinus-27",2010,0.485869856917426,"constrained","CMSY",0.486631254877689
"Melanogrammus_aeglefinus-27",2011,0.486974030986948,"constrained","CMSY",0.486318213482494
"Melanogrammus_aeglefinus-27",2012,0.485853109659959,"constrained","CMSY",0.486045491635044
"Melanogrammus_aeglefinus-27",2013,0.485887914294423,"constrained","CMSY",0.486095596017063
"Melanogrammus_aeglefinus-27",2014,0.483355477458794,"constrained","CMSY",0.48558807786351
"Melanogrammus_aeglefinus-27",2015,0.483319244072883,"constrained","CMSY",0.485077955294601
"Pollachius_virens-27",1981,1.00793722080814,"constrained","CMSY",NA
"Pollachius_virens-27",1982,0.906481080989842,"constrained","CMSY",NA
"Pollachius_virens-27",1983,0.816829778664044,"constrained","CMSY",NA
"Pollachius_virens-27",1984,0.741755793670122,"constrained","CMSY",NA
"Pollachius_virens-27",1985,0.67857718399754,"constrained","CMSY",0.830316211625938
"Pollachius_virens-27",1986,0.623655310129619,"constrained","CMSY",0.753459829490233
"Pollachius_virens-27",1987,0.575685736863973,"constrained","CMSY",0.68730076066506
"Pollachius_virens-27",1988,0.535447799677323,"constrained","CMSY",0.631024364867715
"Pollachius_virens-27",1989,0.502215695755564,"constrained","CMSY",0.583116345284804
"Pollachius_virens-27",1990,0.475555153583668,"constrained","CMSY",0.542511939202029
"Pollachius_virens-27",1991,0.454935897072231,"constrained","CMSY",0.508768056590552
"Pollachius_virens-27",1992,0.437602977951745,"constrained","CMSY",0.481151504808106
"Pollachius_virens-27",1993,0.423183455690428,"constrained","CMSY",0.458698636010727
"Pollachius_virens-27",1994,0.412314395862009,"constrained","CMSY",0.440718376032016
"Pollachius_virens-27",1995,0.405777330199377,"constrained","CMSY",0.426762811355158
"Pollachius_virens-27",1996,0.400422311692469,"constrained","CMSY",0.415860094279206
"Pollachius_virens-27",1997,0.39497593961156,"constrained","CMSY",0.407334686611169
"Pollachius_virens-27",1998,0.390441132783602,"constrained","CMSY",0.400786222029803
"Pollachius_virens-27",1999,0.388504136579842,"constrained","CMSY",0.39602417017337
"Pollachius_virens-27",2000,0.385942970463248,"constrained","CMSY",0.392057298226144
"Pollachius_virens-27",2001,0.385084023039873,"constrained","CMSY",0.388989640495625
"Pollachius_virens-27",2002,0.383175420818622,"constrained","CMSY",0.386629536737037
"Pollachius_virens-27",2003,0.383886216680664,"constrained","CMSY",0.38531855351645
"Pollachius_virens-27",2004,0.384764105435683,"constrained","CMSY",0.384570547287618
"Pollachius_virens-27",2005,0.385382231488006,"constrained","CMSY",0.38445839949257
"Pollachius_virens-27",2006,0.387569544302036,"constrained","CMSY",0.384955503745002
"Pollachius_virens-27",2007,0.390902243067245,"constrained","CMSY",0.386500868194727
"Pollachius_virens-27",2008,0.397310035376048,"constrained","CMSY",0.389185631933804
"Pollachius_virens-27",2009,0.406359275709748,"constrained","CMSY",0.393504665988617
"Pollachius_virens-27",2010,0.414621427514623,"constrained","CMSY",0.39935250519394
"Pollachius_virens-27",2011,0.426743593577719,"constrained","CMSY",0.407187315049077
"Pollachius_virens-27",2012,0.437831761337191,"constrained","CMSY",0.416573218703066
"Pollachius_virens-27",2013,0.450018621903572,"constrained","CMSY",0.427114936008571
"Pollachius_virens-27",2014,0.466777824617947,"constrained","CMSY",0.43919864579021
"Pollachius_virens-27",2015,0.48467633284816,"constrained","CMSY",0.453209626856918
"Reinhardtius_hippoglossoides-27",1981,0.926883800439084,"constrained","CMSY",NA
"Reinhardtius_hippoglossoides-27",1982,0.86187036313805,"constrained","CMSY",NA
"Reinhardtius_hippoglossoides-27",1983,0.81033986040507,"constrained","CMSY",NA
"Reinhardtius_hippoglossoides-27",1984,0.76739354858886,"constrained","CMSY",NA
"Reinhardtius_hippoglossoides-27",1985,0.730300153876215,"constrained","CMSY",0.819357545289456
"Reinhardtius_hippoglossoides-27",1986,0.699993698953492,"constrained","CMSY",0.773979524992337
"Reinhardtius_hippoglossoides-27",1987,0.676483162452701,"constrained","CMSY",0.736902084855268
"Reinhardtius_hippoglossoides-27",1988,0.658979008887036,"constrained","CMSY",0.706629914551661
"Reinhardtius_hippoglossoides-27",1989,0.644186436293617,"constrained","CMSY",0.681988492092612
"Reinhardtius_hippoglossoides-27",1990,0.630539829875538,"constrained","CMSY",0.662036427292477
"Reinhardtius_hippoglossoides-27",1991,0.620109384814231,"constrained","CMSY",0.646059564464625
