"rgn_id","stock_id","year","taxon_key","catch","bmsy","score","Mean_score","TaxonPenaltyCode","penalty","score_gf","score_gapfilled"
1,"Sebastes_marinus-27",1980,600501,21708.83843,NA,NA,NA,6,1,NA,"Mean gapfilled"
1,"Sebastes_marinus-27",1981,600501,21708.83843,NA,NA,NA,6,1,NA,"Mean gapfilled"
1,"Sebastes_marinus-27",1982,600501,21708.83843,NA,NA,NA,6,1,NA,"Mean gapfilled"
1,"Sebastes_marinus-27",1983,600501,21708.83843,NA,NA,NA,6,1,NA,"Mean gapfilled"
1,"Sebastes_marinus-27",1984,600501,21708.83843,NA,0.888207925983934,0.888207925983934,6,1,0.888207925983934,"Mean gapfilled"
1,"Sebastes_marinus-27",1985,600501,21708.83843,NA,0.93421895912483,0.93421895912483,6,1,0.93421895912483,"Mean gapfilled"
1,"Sebastes_marinus-27",1986,600501,21708.83843,NA,0.955991007201478,0.955991007201478,6,1,0.955991007201478,"Mean gapfilled"
1,"Sebastes_marinus-27",1987,600501,21708.83843,NA,0.972321694240565,0.972321694240565,6,1,0.972321694240565,"Mean gapfilled"
1,"Sebastes_marinus-27",1988,600501,21708.83843,NA,0.981486101706977,0.981486101706977,6,1,0.981486101706977,"Mean gapfilled"
1,"Sebastes_marinus-27",1989,600501,21708.83843,NA,0.991751459784788,0.991751459784788,6,1,0.991751459784788,"Mean gapfilled"
1,"Sebastes_marinus-27",1990,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1991,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1992,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1993,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1994,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1995,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1996,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1997,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1998,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",1999,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2000,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2001,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2002,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2003,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2004,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2005,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2006,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2007,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2008,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2009,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2010,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2011,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2012,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2013,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2014,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2015,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2016,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2017,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2018,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2019,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2020,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2021,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
1,"Sebastes_marinus-27",2022,600501,21708.83843,NA,1,1,6,1,1,"Mean gapfilled"
